685196400;0;M
537383501;0;M
599458470;0;M
652984006;0;M
705450010;0;M
654473411;0;M
U410HBB;0;M
ML574VWI;0;M
M45454;0;M
B34357;0;M
599432613;0;D
599408007;0;D
704674002;0;D
704695004;0;D
147054CW;0;D
547276C;0;D
147132C;0;D
547259C;0;D
547265C;0;D
547165C;0;D
547163C;0;D
547166C;0;D
547157C;0;D
WL574BFL;0;D
M19419;0;D
M19420;0;D
M46195;0;D
555766115;0;DZ
654428003;0;DZ
719791100;0;DZ
454476018;0;DZ
647642C;0;DZ
647643C;0;DZ
M46779;0;DZ
M46785;0;DZ
M46743;0;DZ
652824004;1;M
620990401;1;M
683141002;1;M
683141005;1;M
M45452;1;M
M45449;1;M
30547001;1;M
30525701;1;M
30525702;1;M
30529102;1;M
30529104;1;M
30529403;1;M
30544401;1;M
30544403;1;M
30487901;1;M
704695001;1;K
705343010;1;K
705343610;1;K
D65161;1;K
M45225;1;K
M48050;1;K
314192117;1;DZ
B25054;1;DZ
B25055;1;DZ
